"longitude","latitude","Sparse.Herbaceous.PLAND","Open.Forests.PLAND","Barren.PLAND","Urban.PLAND","Herbaceous.Croplands.PLAND","Sparse.Forests.PLAND","Evergreen.Needleleaf.Forests.PLAND","Dense.Herbaceous.PLAND","Mixed.Broadleaf.Needleleaf.Forests.PLAND","Herbaceous.Wetlands.PLAND","Sparse.Shrublands.PLAND","Shrubland.Grassland.Mosaics.PLAND","Deciduous.Broadleaf.Forests.PLAND","Dense.Shrublands.PLAND"
-108.5986539,49.83243446,0.14863258,0,0,0,93.78715815,0,0,99.85136742,0,0,0,0,0,0
-120.6419661,49.5926281,0.08766803,54.38340152,0,0,0,0.81823495,29.57334892,15.13734658,0,0.058445354,0,0,0,0
-119.9020723,49.5926281,0.672121566,54.76329632,0.116890707,2.045587376,0,3.419053185,26.24196376,13.06253653,0,0.438340152,0,0,0,0
-119.5321255,49.5926281,0.208085612,54.19143876,0.802615933,0.98097503,0,1.486325803,25.41617122,10.16646849,0,1.218787158,0,0,0,0
-119.1621786,49.5926281,0,49.76218787,0,0,0,0.089179548,45.3626635,4.785969084,0,0,0,0,0,0
-116.5725505,49.5926281,8.708357686,29.7194623,0.964348334,0,0,5.143191116,42.22676797,10.0818235,0.146113384,0.438340152,0,0,0.058445354,0
-116.2026036,49.5926281,5.231866825,45.54102259,0.891795482,0.118906064,0,4.8156956,38.22829964,4.66706302,0.386444709,0,0,0,0.059453032,0
-115.8326568,49.5926281,1.426872771,50.5648038,0.029726516,3.032104637,0.089179548,6.985731272,25.83234245,15.16052319,0,0,0,0,0,0
-115.4627099,49.5926281,4.696789536,46.64090369,0.891795482,0.445897741,0.029726516,11.20689655,21.58145065,14.65517241,0.237812128,0.029726516,0,0,0.089179548,0
-115.092763,49.5926281,3.418549346,37.63376932,0.535077289,0.505350773,0,9.304399524,37.27705113,10.58263971,1.189060642,0,0,0,0.059453032,0
-114.7228162,49.5926281,5.023781213,42.27110583,0.832342449,0,0,7.847800238,23.87039239,19.70868014,0.445897741,0.089179548,0,0,0,0
-114.3528693,49.5926281,0.832342449,29.93460166,0,1.099881094,12.36623068,3.983353151,16.40903686,48.57312723,0.267538644,0.14863258,0,0,0,0
-113.9829224,49.5926281,1.811805961,1.782583285,0.584453536,0.058445354,37.11279953,0.175336061,0.701344243,94.56458212,0.029222677,0.263004091,0,0,0,0
-113.6129756,49.5926281,0,0.475624257,0,0,32.60998811,0,0.089179548,99.4351962,0,0,0,0,0,0
-113.2430287,49.5926281,0,0,0,0.175336061,63.38398597,0,0,100,0,0,0,0,0,0
-112.8730818,49.5926281,0.14863258,0,0,0.802615933,76.93222354,0,0,99.85136742,0,0,0,0,0,0
-112.503135,49.5926281,1.724137931,0,0,4.237288136,90.70718878,0.08766803,0,98.18819404,0,0,0,0,0,0
-112.1331881,49.5926281,2.229488704,0,0.297265161,0,94.56004756,0,0,97.47324614,0,0.089179548,0,0,0,0
-111.7632412,49.5926281,0.356718193,0,0.267538644,0,85.70154578,0,0,99.37574316,0,0,0,0,0,0
-111.3932944,49.5926281,1.575505351,0,0.356718193,0,81.98573127,0,0,98.06777646,0,0.029726516,0,0,0,0
-111.0233475,49.5926281,0.326991677,0,0,0,44.32223543,0,0,99.67300832,0,0,0,0,0,0
-110.6534006,49.5926281,0,0,0,0,10.37405026,0,0,100,0,0,0,0,0,0
-110.2834538,49.5926281,0.029726516,1.397146254,0,0,35.10701546,0,4.399524376,93.75743163,0.386444709,0.297265161,0,0,0,0
-109.9135069,49.5926281,0.350672122,4.354178843,0.058445354,0,16.42314436,0,11.63062537,81.70660432,1.431911163,0.175336061,0,0,0,0
-109.54356,49.5926281,0.832342449,0.683709869,0.356718193,0,21.1058264,0,0.118906064,97.74078478,0.059453032,0.118906064,0,0,0,0
-109.1736132,49.5926281,0.058445354,1.285797779,0,0,33.92752776,0,0.584453536,97.66218586,0.321449445,0.029222677,0,0,0.058445354,0
-108.8036663,49.5926281,0,0,0,0,54.78596908,0,0,100,0,0,0,0,0,0
-108.4337194,49.5926281,0.267538644,0,0.029726516,0,49.58382878,0,0,99.70273484,0,0,0,0,0,0
-108.0637726,49.5926281,0,0,0,0,63.73365042,0,0,100,0,0,0,0,0,0
-107.6938257,49.5926281,0.118906064,0,0,0,67.18192628,0,0,99.88109394,0,0,0,0,0,0
-119.6846326,49.35282174,0.326991677,50.44589774,0.178359096,0.416171225,0,3.151010702,26.6646849,19.23305589,0,0.594530321,0,0,0,0
-115.6350914,49.35282174,0.386444709,50.1783591,0.178359096,0,0,1.159334126,45.51129608,2.021403092,0,0.089179548,0,0,0,0
-115.2669513,49.35282174,1.634958383,52.25921522,0.059453032,0.326991677,0,4.548156956,28.26991677,12.72294887,0,0.029726516,0,0,0,0
-114.8988112,49.35282174,0.624256837,41.70630202,0,0,0,12.42568371,31.56956005,12.18787158,1.426872771,0,0,0,0.059453032,0
-114.530671,49.35282174,6.450653983,27.85374554,0.14863258,0,0,17.24137931,30.41022592,17.89536266,0,0.029726516,0,0,0,0
-114.1625309,49.35282174,1.843043995,26.51605232,0.029726516,0,12.27705113,16.73602854,19.88703924,32.01545779,2.764565993,0.059453032,0,0,0.178359096,0
-113.7943908,49.35282174,0.683709869,3.507728894,0,0,86.97978597,2.586206897,0.118906064,92.98454221,0.059453032,0.178359096,0,0,0,0
-113.4262507,49.35282174,0.81823495,0,0.146113384,0,94.50613676,0,0,98.18819404,0,0.08766803,0,0,0,0
-113.0581106,49.35282174,0.653983353,0,0.208085612,0,95.54102259,0,0,98.60285375,0,0,0,0,0,0
-112.6899705,49.35282174,0.993571011,0,0.029222677,0.350672122,97.42840444,0,0,98.94798364,0,0.233781414,0,0,0,0
-112.3218303,49.35282174,1.545778835,0,0.118906064,0.505350773,95.57074911,0,0,98.30558859,0,0.237812128,0,0,0,0
-111.9536902,49.35282174,0.292226768,0,0,0,89.83050847,0,0,99.70777323,0,0,0,0,0,0
-111.5855501,49.35282174,0.891795482,0,0.029726516,0,91.88466112,0,0,99.078478,0,0,0,0,0,0
-111.21741,49.35282174,3.359096314,0,0.237812128,0,70.51129608,0,0,96.28418549,0,0,0,0,0,0
-110.8492699,49.35282174,7.996432818,0,1.12960761,0,10.13674197,0,0,87.33650416,0,2.199762188,0,0,0,0
-110.4811298,49.35282174,0.267538644,0,0,0,0.98097503,0,0,99.73246136,0,0,0,0,0,0
-110.1129897,49.35282174,0.116890707,0,0,0,0,0,0,99.88310929,0,0,0,0,0,0
-109.7448495,49.35282174,0.386444709,0,0.178359096,0,2.11058264,0,0,99.40546968,0,0.059453032,0,0,0,0
-109.3767094,49.35282174,0.496785506,0,0.526008182,0,14.75745178,0,0,98.12974868,0,0.058445354,0,0,0,0
-109.0085693,49.35282174,0.089179548,0,0.118906064,0,33.47205707,0,0,99.79191439,0,0,0,0,0,0
-108.6404292,49.35282174,0,0,0,0,70.22209234,0,0,100,0,0,0,0,0,0
-108.2722891,49.35282174,0,0,0,0,38.10939358,0,0,100,0,0,0,0,0,0
-107.904149,49.35282174,0.624256837,0,0.386444709,0,4.696789536,0,0,98.98929845,0,0.029726516,0,0,0,0
-107.5360089,49.35282174,0,0,0,0,1.218787158,0,0,100,0,0,0,0,0,0
-107.1678687,49.35282174,0.237812128,0,0.14863258,0,61.8608799,0,0,99.61355529,0,0,0,0,0,0
-106.7997286,49.35282174,0,0,0,0,84.59964933,0,0,100,0,0,0,0,0,0
-106.4315885,49.35282174,0,0.029726516,0,0,76.96195006,0,0,99.97027348,0,0,0,0,0,0
-120.5704611,49.11301537,1.991676576,28.8941736,0,0,0,3.775267539,47.53269917,17.80618312,0,0.059453032,0,0,0,0
-120.2041038,49.11301537,3.923900119,33.35315101,0.059453032,0,0,3.656361474,40.04161712,18.96551724,0,0.029726516,0,0,0,0
-119.8377465,49.11301537,1.961950059,38.5255648,0.178359096,0.445897741,0.208085612,7.282996433,13.882283,37.72294887,0,0.386444709,0,0,0,0
