"srd_id","latitude","longitude","elev","Barren.PLAND","Evergreen.Needleleaf.Forests.PLAND","Evergreen.Broadleaf.Forests.PLAND","Deciduous.Needleleaf.Forests.PLAND","Deciduous.Broadleaf.Forests.PLAND","Mixed.Broadleaf.Needleleaf.Forests.PLAND","Mixed.Broadleaf.Evergreen.Deciduous.Forests.PLAND","Open.Forests.PLAND","Sparse.Forests.PLAND","Dense.Herbaceous.PLAND","Sparse.Herbaceous.PLAND","Dense.Shrublands.PLAND","Shrubland.Grassland.Mosaics.PLAND","Sparse.Shrublands.PLAND","Urban.PLAND","Forest.Cropland.Mosaics.PLAND","Natural.Herbaceous.Croplands.Mosaics.PLAND","Herbaceous.Croplands.PLAND","Woody.Wetlands.PLAND","Herbaceous.Wetlands.PLAND"
242270,51.2712726267742,-116.1809488045,2203,23.3650416171225,19.0249702734839,0,0,0,0,0,19.500594530321,3.83472057074911,15.3091557669441,17.7764565992866,0,0,0,0,0,0,0,0,0.148632580261593
242271,51.2712726267742,-115.797647671007,1865,6.95600475624257,34.0368608799049,0,0,0,0,0,27.3483947681332,1.45659928656361,15.6361474435196,14.5065398335315,0,0,0,0,0,0,0,0,0.772889417360285
242272,51.2712726267742,-115.414346537513,2062,6.86682520808561,18.9952437574316,0,0,0,0,0,20.5112960760999,3.0321046373365,25.7134363852556,22.6516052318668,0,0,0,0,0,0,0,0,0.624256837098692
242273,51.2712726267742,-115.03104540402,1542,3.24019024970274,30.3804994054697,0,0.356718192627824,0.267538644470868,0.326991676575505,0,25.2080856123662,2.02140309155767,26.9024970273484,11.0285374554102,0,0,0,0,0,0,0.178359096313912,0,0.505350772889417
242274,51.2712726267742,-114.647744270527,1307,0,23.3489187609585,0,0.555230859146698,0,0.75978959672706,0,17.8258328462887,0.0292226767971946,57.2472238457043,0.233781414377557,0,0,0,1.34424313267095,0.0584453535943892,0,19.4038573933372,0,0.0292226767971946
243770,51.0314662653801,-116.341399853728,1480,1.05201636469901,48.042080654588,0,0,0,0,0,31.0637054354179,3.74050263004091,10.9877264757452,5.11396843950906,0,0,0,0,0,0,0,0,0.730566919929866
243771,51.0314662653801,-115.960085409539,2027,12.7549554725654,9.07785119218615,0,0,0,0,0,28.7848319448434,3.04510198218903,28.756104567653,17.265153691468,0,0,0,0,0,0,0,0,0.430910657856938
243772,51.0314662653801,-115.578770965349,2183,7.53945061367621,14.7282291057861,0,0,0,0.0584453535943892,0,28.9888953828171,4.29573348918761,23.2904734073641,20.7773232028054,0,0,0,0,0,0,0,0,0.146113383985973
243773,51.0314662653801,-115.19745652116,1775,0.818234950321449,36.791350087668,0,0,0,0,0,34.4535359438925,5.37697253068381,10.3156049094097,12.156633547633,0,0,0,0.847457627118644,0,0,0,0,0.730566919929866
243774,51.0314662653801,-114.816142076971,1409,0.233781414377557,36.6160140268849,0,0.789012273524255,0.701344243132671,7.86090005844535,0,37.5511396843951,2.10403272939801,11.1338398597312,3.00993571011105,0,0,0,0,0,0,0,0,0.0292226767971946
243780,51.0314662653801,-112.528255411835,885,0.287273771904625,0,0,0,0,0,0,0,0,97.7305372019535,1.52255099109451,0,0,0,0,0,0,79.4599253088193,0,0.430910657856938
243781,51.0314662653801,-112.146940967646,764,0,0,0,0,0,0,0,0,0,99.7954412624196,0.204558737580362,0,0,0,0,0,0,30.7422559906487,0,0.0292226767971946
243782,51.0314662653801,-111.765626523457,714,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,2.68848626534191,0,0
243783,51.0314662653801,-111.384312079268,720,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0.321449444769141,0,0
243784,51.0314662653801,-111.002997635078,739,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0.0584453535943892,0,0
245271,50.7916599039861,-116.122871676718,1355,0.116890707188778,48.7142022209234,0,0,0,0,0,34.5119812974868,3.21449444769141,9.52659263588545,3.88661601402689,0,0,0,0.0876680303915839,0,0,0,0,1.40268848626534
245272,50.7916599039861,-115.74351682246,1943,11.4149821640904,20.5112960760999,0,0,0,0,0,28.5077288941736,3.83472057074911,14.9821640903686,20.5707491082045,0,0,0,0,0,0,0,0,0.683709869203329
245273,50.7916599039861,-115.364161968202,2181,15.1373465809468,16.8030391583869,0,0,0,0,0,24.1379310344828,4.00350672121566,19.6376388077148,19.6960841613092,0,0,0,0,0,0,0,0,0.116890707188778
245274,50.7916599039861,-114.984807113944,2063,4.19143876337693,26.7241379310345,0,0,0.0297265160523187,0.594530321046373,0,23.4542211652794,3.89417360285374,18.0737217598098,22.6813317479191,0,0,0,0,0,0,0,0,0.178359096313912
245275,50.7916599039861,-114.605452259686,1496,0,34.423305588585,0,0.683709869203329,0.535077288941736,4.19143876337693,0,31.5695600475624,1.51605231866825,23.8703923900119,3.21046373365042,0,0,0,0.118906064209275,0.089179548156956,0,8.85850178359096,0,0.148632580261593
245279,50.7916599039861,-113.088032842655,886,0.0297265160523187,0,0,0,0,0,0,0,0,99.4946492271106,0.326991676575505,0,0,0,0.0594530321046373,0,0,67.8061831153389,0,0.118906064209275
245280,50.7916599039861,-112.708677988397,841,0.0876680303915839,0,0,0,0,0,0,0,0,99.2109877264757,0.672121566335476,0,0,0,0,0,0,47.4868497954413,0,0.0292226767971946
245281,50.7916599039861,-112.329323134139,776,0.237812128418549,0,0,0,0,0,0,0,0,99.2271105826397,0.44589774078478,0,0,0,0.118906064209275,0,0,64.1498216409037,0,0.267538644470868
245282,50.7916599039861,-111.949968279881,731,0.175336060783168,0,0,0,0,0,0,0,0,99.2986557568673,0.233781414377557,0,0,0,0.0584453535943892,0,0,61.3383985973115,0,0.175336060783168
245283,50.7916599039861,-111.570613425624,706,0,0,0,0,0,0,0,0,0,98.8109393579073,1.18906064209275,0,0,0,0,0,0,7.60998810939358,0,0
245284,50.7916599039861,-111.191258571366,743,0,0,0,0,0,0,0,0,0,99.8810939357907,0.118906064209275,0,0,0,0,0,0,0.713436385255648,0,0
245285,50.7916599039861,-110.811903717108,756,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,1.45659928656362,0,0
245286,50.7916599039861,-110.43254886285,683,0,0,0,0,0,0,0,0,0,99.346016646849,0.653983353151011,0,0,0,0,0,0,1.99167657550535,0,0
245287,50.7916599039861,-110.053194008592,713,0,0,0,0,0,0,0,0,0,99.5616598480421,0.438340151957919,0,0,0,0,0,0,7.18877849210988,0,0
246772,50.551853542592,-115.90859812944,1258,0.0876680303915839,51.3734658094682,0,0,0,0,0,39.0122735242548,3.30216247808299,5.23085914669784,0.993571011104617,0,0,0,0.409117475160725,0,0,0,0,0.438340151957919
246773,50.551853542592,-115.531176249533,1806,4.68256248204539,40.2757828210284,0,0,0,0,0,25.4524561907498,4.91238149956909,12.5538638322321,12.0654984199943,0,0,0,0,0,0,0,0,0.34472852628555
246774,50.551853542592,-115.153754369627,2137,14.8158971361777,27.4400935125658,0,0,0,0,0,21.9754529514904,5.87375803623612,16.5400350672122,12.2443015780245,0,0,0,0,0,0,0,0,0.0584453535943892
246775,50.551853542592,-114.77633248972,2056,2.72910083309394,25.3950014363689,0,0.258546394714163,0.057454754380925,0.172364263142775,0,22.4360815857512,4.99856363114048,26.400459638035,17.2938810686584,0,0,0,0,0,0,0.632002298190175,0,0.172364263142775
246776,50.551853542592,-114.398910609814,1376,0.116890707188778,29.2518994739918,0,0.263004091174752,0.75978959672706,1.0812390414962,0,13.2963179427236,0.526008182349503,53.156049094097,1.54880187025132,0,0,0,0,0,0,34.1905318527177,0,0.0584453535943892
